id,lat,lon,coord,,modern
real de minas de mapimí,25.83355872,-103.8492983,"25.8335587213226,-103.849298346882",,"Mapimí, Durango, México"
real de minas de san joseph del parral,26.9333,-105.6667,"26.9333,-105.6667",,"Hidalgo del Parral, Chihuahua, México"
real de minas de santa ana,30.53840507,-111.1218099,"30.53840507,-111.12180985",,"Santa Ana, Sonora, México"
real de minas de san gregorio de mazapil,25.18504216,-105.9288818,"25.18504215566,-105.928881764",,"Mazapil, Durango (aprox)(defiance and deference...)"
real de minas del rosario,22.9914079,-105.8605874,"22.9914079,-105.8605874",,"El Rosario, Sinaloa, México"
real de minas de santa bárbara,26.7995018,-105.8209378,"26.7995018,-105.8209378",,"Santa Bárbara, Chihuahua, México"
china,39.90585394,116.38085,"39.9058539414,116.380850044",,"Pekin, China"
villa de aguilar,28.51952084,-107.3987925,"28.519520844383,-107.398792507655",,"Basúchil, Chihuahua, México"
real de minas de san diego,26.82484832,-105.8041156,"26.82484832445,-105.8041155681",,"Minas de San Diego, Chihuahua, México"
madrid,40.4168,-3.7038,"40.4168,-3.7038",,"Madrid, España"
valle de san bartolomé,26.93715479,-105.3914343,"26.9371547924443,-105.391434325",,"Valle de Allende, Chihuahua, México"
provincia de sinaloa,24.76645583,-107.3667103,"24.766455831,-107.36671028",,"Villa de San Felipe y Santiago, Sinaloa, Mexico"
Real de minas de san juan bautista,29.81608869,-109.4235402,"29.81608868707,-109.42354022372",,"San Juan Bautista, Sonora (aprox) espania"
nuevo méxico,35.68522611,-105.9558,"35.685226105,-105.9558",,"Santa Fe Nuevo México, EE.UU."
españa,40.4168,-3.7038,"40.4168,-3.7038",,"Madrid, España"
guadalajara,20.6597,-103.3496,"20.6597,-103.3496",,"Guadalajara, Jalisco, México"
provincia de santa maria de parras,25.4333,-102.1833,"25.4333,-102.1833",,"Parras de la Fuente, Coahuila, México"
coahuila,26.90838332,-101.4179,"26.908383319,-101.4179",,"Monclova, Coahuila, México"
real de san francisco de conchos,27.58562306,-105.3344281,"27.5856230622557,-105.334428068546",,"San Francisco de Conchos, Chihuahua, México"
castilla,41.78901981,-4.478431446,"41.7890198141,-4.47843144622",,"Castilla, España (Madrid como ref.)"
presidio de santa catarina de tepehuanes,25.343,-105.72,"25.343,-105.72",,"Santa Catarina de Tepehuanes, Durango, México"
real de minas del sombrerete,23.6333,-103.6333,"23.6333,-103.6333",,"Sombrerete, Zacatecas, México"
protectoría de saltillo,25.4232,-100.9963,"25.4232,-100.9963",,"Saltillo, Coahuila, México"
villa de durango,24.02760608,-104.6675253,"24.027606078,-104.6675253",,"Victoria de Durango, Durango, México (defiance)"
real de minas de copala,23.39579752,-105.934814,"23.3957975173,-105.934814",,"Copala, Sinaloa, México"
presidio de san sebastián,23.1833,-106.2333,"23.1833,-106.2333",,"San Sebastián,Sinaloa, México (aprox), espania"
presidio de san hipólito,24.67750764,-106.1591284,"24.677507643,-106.1591284",,"San Hipólito (aprox.), Durango, México e-spania"
virreinato del perú,-12.0464,-77.0428,"-12.0464,-77.0428",,"Lima, Perú"
valsaín,40.87696573,-4.026759712,"40.8769657256,-4.0267597119",,"Valsaín, Segovia, España"
real de minas de zimapán,20.74070388,-99.38271489,"20.7407038779,-99.382714887",,"Zimapan, Hidalgo, Mexico"
presidio de san pedro del gallo,25.56957835,-104.293287,"25.5695783517,-104.293286955",,"San Pedro del Gallo, Durango, México"
provincia de sonora,30.33580458,-110.1662161,"30.33580458,-110.16621614",,"Arizpe, Sonora, México"
paraje de cuencamé,24.8667,-103.6833,"24.8667,-103.6833",,"Cuencamé, Durango, México"
papicochi,28.23232732,-107.7422987,"28.23232732303,-107.7422986863",,"Papigochi, Chihuahua, México (aprox.)"
ciudad de guadiana,24.01209571,-104.643092,"24.012095709,-104.643092",,"Durango (Valle de Guadiana), México"
ciudad de méxico,19.4326,-99.1332,"19.4326,-99.1332",,"Ciudad de México, México"
san ildefonso de ostimuri,27.72324205,-109.8823647,"27.72324205,-109.882364706",,"Ostimuri, Sonora, México (aprox.). articulo"
real de minas de guanacevi,25.93,-105.95,"25.93,-105.95",,"Guanaceví, Durango, México"
real de minas de zacatecas,22.7709,-102.5832,"22.7709,-102.5832",,"Zacatecas, México"
presidio de cerro gordo,24.32194813,-104.704549,"24.32194813,-104.704549",,"Cerro Gordo, Durango, México"
californias,26.0117564,-111.347753,"26.0117564,-111.347753",,"Loreto, Baja California, Mexico"
real de minas de san andrés,25.08557324,-106.3066122,"25.085573238,-106.3066122",,"San Andres, Durango, Mexico (aprox) defiance"
presidio de corrales,25.203942,-105.5705518,"25.203942,-105.5705518",,"Corrales, Durango, México"
san francisco del oro,26.86603,-105.848621,"26.86603,-105.848621",,"San Francisco del Oro, Chihuahua, México"
buen retiro,40.4168,-3.686,"40.4168,-3.686",,"Buen Retiro, Madrid, España"
atotonilco,27.00421993,-105.0340304,"27.0042199324,-105.0340304467",,"Villa López, Chihuahua, México"
paraje de casas grandes,30.3667,-107.95,"30.3667,-107.95",,"Casas Grandes, Chihuahua, México"
provincia de san juan del río,24.78188196,-104.4582493,"24.78188196,-104.45824927365",,"San Juan del Rio, Durango, México "
